Index,CH_Id,ToA_ns,ToT_ns
254,17,218.0,26.5
254,18,218.5,26.5
255,11,226.0,6.0
255,16,217.5,25.5
255,17,215.5,29.5
255,18,222.0,15.0
256,5,226.0,28.5
256,16,225.0,30.5
256,17,229.0,23.0
256,18,224.5,36.5
257,10,222.0,27.0
257,16,228.0,13.0
257,17,221.0,30.5
257,18,226.0,18.0
258,2,219.5,29.5
258,16,218.5,30.5
258,17,227.5,16.0
258,18,218.0,38.0
259,6,225.0,13.0
259,16,218.5,23.5
259,17,220.5,23.5
259,18,217.5,29.5
260,9,220.5,33.5
260,16,224.0,22.5
260,17,223.0,26.0
260,18,226.0,19.0
261,9,218.0,35.0
261,16,222.5,22.5
261,17,220.0,30.5
261,18,221.0,28.5
262,14,222.5,12.5
262,16,223.5,12.0
262,17,214.5,34.0
262,18,225.5,11.0
263,5,216.0,28.0
263,16,215.5,27.5
263,17,229.0,6.0
263,18,219.5,18.5
264,6,225.5,21.0
264,16,225.5,16.5
264,17,228.0,16.5
264,18,222.0,30.5
265,6,218.5,32.0
265,16,220.5,23.0
265,17,223.0,21.0
265,18,220.0,27.5
266,4,224.5,33.0
266,16,225.0,28.0
266,17,230.0,17.5
266,18,225.5,30.5
267,10,214.5,30.0
267,16,223.0,10.0
267,17,216.0,23.0
267,18,223.0,10.5
268,4,219.5,28.5
268,16,220.0,22.0
268,17,228.0,15.0
268,18,218.5,30.5
269,11,218.0,40.5
269,16,221.5,26.0
269,17,220.0,30.0
269,18,222.5,24.0
270,8,225.5,29.5
270,16,226.5,24.0
270,17,226.5,26.0
270,18,229.0,22.0
271,11,219.0,35.0
271,16,227.5,12.5
271,17,220.5,28.0
271,18,225.5,19.0
272,9,228.0,28.0
272,16,227.0,35.5
272,17,225.5,42.5
272,18,228.5,32.5
273,14,220.5,30.5
273,16,225.5,19.0
273,17,220.0,30.5
273,18,229.5,14.5
274,13,216.5,33.0
274,16,222.5,16.5
274,17,216.0,33.0
274,18,225.5,12.5
275,8,227.5,12.5
275,16,219.0,30.0
275,17,223.0,20.5
275,18,222.5,22.5
276,13,223.5,46.5
276,16,227.5,26.5
276,17,224.0,36.0
276,18,230.5,23.0
277,1,213.5,31.5
277,16,213.0,29.5
277,17,226.0,6.5
277,18,212.5,34.0
278,9,223.5,26.5
278,16,225.0,24.5
278,17,222.0,34.0
278,18,223.5,30.0
279,11,221.0,36.0
279,16,227.0,18.0
279,17,221.0,33.0
279,18,228.0,18.5
280,5,220.5,27.5
280,16,219.5,28.5
280,17,227.5,15.0
280,18,218.5,33.5
281,7,219.0,32.5
281,16,218.0,33.5
281,17,222.0,26.0
281,18,220.5,26.5
282,12,221.5,26.5
282,16,226.5,15.5
282,17,219.5,33.0
282,18,226.5,21.0
283,4,219.5,34.0
283,16,221.0,27.0
283,17,227.5,14.5
283,18,220.0,33.5
284,8,228.0,28.5
284,16,229.5,26.0
284,17,229.5,27.0
284,18,229.0,30.5
285,2,221.5,25.0
285,16,217.5,39.5
285,17,228.0,16.5
285,18,218.0,39.5
286,13,213.0,34.5
286,16,223.0,9.0
286,17,212.5,32.0
286,18,223.0,13.0
287,13,221.0,34.0
287,16,227.0,16.5
287,17,220.0,34.0
287,18,228.5,16.5
288,14,221.5,30.0
288,16,224.5,22.5
288,17,219.0,36.0
288,18,229.5,14.5
289,6,222.0,32.5
289,16,223.0,27.5
289,17,223.5,31.5
289,18,220.5,39.0
290,9,223.5,40.0
