 //************************************************
//Board:5202
//File_Format_Version:3.3
//Janus_Release 4.2.0
//Acquisition_Mode:Spectroscopy
//Energy_Histo_NBins:8192
//Run#:19
//Start_Time_Epoch:1760354946190
//Start_Time_DateTime:Mon Oct 13 13:29:06 2025
//************************************************
TStamp,Trg_Id,Board_Id,Num_hits,ChannelMask,CH_Id,Data_type,PHA_LG,PHA_HG
1771314987.152,85,0,5,0x7c0,8,0x1,1440,-1
1771314987.152,85,0,5,0x7c0,9,0x1,1482,-1
1771314987.152,85,0,5,0x7c0,10,0x1,2758,-1
1776994499.520,86,0,4,0x78000,15,0x1,1792,-1
1776994499.520,86,0,4,0x78000,16,0x1,3195,-1
1776994499.520,86,0,4,0x78000,17,0x1,5766,-1
1776994499.520,86,0,4,0x78000,18,0x1,1556,-1
1793851763.512,87,0,4,0x60600,9,0x1,1397,-1
1793851763.512,87,0,4,0x60600,10,0x1,2058,-1
1793851763.512,87,0,4,0x60600,17,0x1,6917,-1
1793851763.512,87,0,4,0x60600,18,0x1,6425,-1
1848141281.632,88,0,4,0x74000,14,0x1,2026,-1
1848141281.632,88,0,4,0x74000,16,0x1,2291,-1
1848141281.632,88,0,4,0x74000,17,0x1,6517,-1
1848141281.632,88,0,4,0x74000,18,0x1,1751,-1
1876430698.472,89,0,4,0x60220,5,0x1,1397,-1
1876430698.472,89,0,4,0x60220,9,0x1,1186,-1
1876430698.472,89,0,4,0x60220,17,0x1,3552,-1
1876430698.472,89,0,4,0x60220,18,0x1,5381,-1
1894475385.816,90,0,4,0x72000,13,0x1,2452,-1
1894475385.816,90,0,4,0x72000,16,0x1,2765,-1
1894475385.816,90,0,4,0x72000,17,0x1,3731,-1
1894475385.816,90,0,4,0x72000,18,0x1,1134,-1
1895211441.304,91,0,6,0x7c020,5,0x1,398,-1
1895211441.304,91,0,6,0x7c020,14,0x1,3505,-1
1895211441.304,91,0,6,0x7c020,15,0x1,1041,-1
1895211441.304,91,0,6,0x7c020,16,0x1,721,-1
1895211441.304,91,0,6,0x7c020,17,0x1,1685,-1
1895211441.304,91,0,6,0x7c020,18,0x1,2773,-1
1901226722.640,92,0,4,0x68400,10,0x1,3901,-1
1901226722.640,92,0,4,0x68400,15,0x1,1641,-1
1901226722.640,92,0,4,0x68400,17,0x1,6352,-1
1901226722.640,92,0,4,0x68400,18,0x1,1404,-1
1908081655.480,93,0,4,0x72000,13,0x1,2910,-1
1908081655.480,93,0,4,0x72000,16,0x1,1959,-1
1908081655.480,93,0,4,0x72000,17,0x1,3711,-1
1908081655.480,93,0,4,0x72000,18,0x1,1910,-1
1916364497.432,94,0,4,0x70800,11,0x1,2195,-1
1916364497.432,94,0,4,0x70800,16,0x1,1470,-1
1916364497.432,94,0,4,0x70800,17,0x1,3598,-1
1916364497.432,94,0,4,0x70800,18,0x1,1732,-1
1934106975.360,95,0,4,0x70800,11,0x1,2081,-1
1934106975.360,95,0,4,0x70800,16,0x1,1158,-1
1934106975.360,95,0,4,0x70800,17,0x1,4407,-1
1934106975.360,95,0,4,0x70800,18,0x1,1554,-1
1948356497.632,96,0,4,0x71000,12,0x1,1500,-1
1948356497.632,96,0,4,0x71000,16,0x1,1153,-1
1948356497.632,96,0,4,0x71000,17,0x1,4015,-1
1948356497.632,96,0,4,0x71000,18,0x1,1578,-1
1979669816.848,97,0,4,0x6000c,2,0x1,1357,-1
1979669816.848,97,0,4,0x6000c,3,0x1,2468,-1
1979669816.848,97,0,4,0x6000c,17,0x1,1275,-1
